mobile Name,mobile Link,mobile Price,mobile Reviews,mobile Location
Samsung A04 4GB+64GB,https://www.daraz.pk/products/samsung-a04-4gb64gb-i421205187-s1988615868.html?search=1,"Rs. 39,299",(12),Pakistan
Samsung A14 4/128,https://www.daraz.pk/products/samsung-a14-4128-i422211748-s1998041160.html?search=1,"Rs. 57,499",(1),Pakistan
"Tecno Camon 19 Neo 6GB Ram 128GB Rom 6.8 Inches IPS Display Li-Po 5000 mAh,-Fast charging 18W",https://www.daraz.pk/products/tecno-camon-19-neo-6gb-ram-128gb-rom-68-inches-ips-display-li-po-5000-mah-fast-charging-18w-i336204245-s1741219803.html?search=1,"Rs. 47,999",(16),Pakistan
"Redmi 10A - 6.53"" Inch Display - 4GB RAM - 128GB ROM",https://www.daraz.pk/products/redmi-10a-653-inch-display-4gb-ram-128gb-rom-i319298940-s1695135215.html?search=1,"Rs. 40,890",(10),Free Shipping
Oppo A54 4 / 128GB,https://www.daraz.pk/products/buy-oppo-a54-4128gb-i264445064-s1481023118.html?search=1,"Rs. 59,999",(237),Pakistan
Xiaomi - Redmi A1+ (2GB-32GB) PTA Approved With Official 1 Year Warranty - NON ACTIVE,https://www.daraz.pk/products/xiaomi-redmi-a1-2gb-32gb-pta-approved-with-official-1-year-warranty-non-active-i375055108-s1858707696.html?search=1,"Rs. 24,999",(70),Pakistan
Samsung A23 6GB+128GB,https://www.daraz.pk/products/samsung-a23-6gb128gb-i421071874-s1988350739.html?search=1,"Rs. 72,799",(8),Pakistan
Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,https://www.daraz.pk/products/samsung-galaxy-a04-4gb-64gb-official-pta-approved-official-warranty-i398449277-s1927450412.html?search=1,"Rs. 42,499",(28),Pakistan
"Redmi A1 Plus - 6.52"" Inch Display - 2GB RAM - 32GB ROM",https://www.daraz.pk/products/a1-4-2gb-32gb-i375939955-s1861306344.html?search=1,"Rs. 24,475",(10),Free Shipping
"itel A17 MOBILE 1GB RAM 16GB ROM || 5"" DISPLAY || 1 YEAR BRAND WARRANTY",https://www.daraz.pk/products/itel-a17-mobile-1gb-ram-16gb-rom-5-display-1-year-brand-warranty-i316431939-s1675569659.html?search=1,"Rs. 11,499",(56),Free Shipping
Itel Value 100s || 1.8 Inch Display 1000mAh Battery,https://www.daraz.pk/products/100s-18-1000mah-i380090639-s1873524644.html?search=1,"Rs. 2,770",(8),Pakistan
Sony xperia 5 ii Official pta approved (8/128),https://www.daraz.pk/products/sony-xperia-5-ii-official-pta-approved-8128-i413484989-s1971371510.html?search=1,"Rs. 60,000",(7),Pakistan
Samsung Galaxy A14 || 6GB Ram 128GB Rom || 6.8 PLS LCD Capacitive Touchscreen || 5000 mAh - Fast charging 15W,https://www.daraz.pk/products/a14-6gb-1-000-gb-128-pls-lcd-15-i420963806-s1988030804.html?search=1,"Rs. 67,999",,Pakistan
"Infinix Note 12 - 6.7"" Inch Display - 8GBRAM",https://www.daraz.pk/products/infinix-note-12-67-inch-display-8gbram-i309898503-s1647324529.html?search=1,"Rs. 56,990",(7),Free Shipping
"Samsung Galaxy A53 5G - 8GB ROM 128GB - 6.5"" FHD+ sAMOLED - 64MP OIS Main Camera - Selfie Camera 32MP - 5000 mAh Battery 1 Year Official Warranty- with Mobile Phone",https://www.daraz.pk/products/samsung-galaxy-a53-5g-8gb-rom-128gb-65-fhd-samoled-64mp-ois-main-camera-selfie-camera-32mp-5000-mah-battery-1-year-official-warranty-with-mobile-phone-i347981753-s1776122000.html?search=1,"Rs. 129,999",(34),Pakistan
Vivos Y85 4gb RAM 64gb Memory kit with box charger,https://www.daraz.pk/products/4gb-y85-64gb-i421284909-s1989082798.html?search=1,"Rs. 19,000",(1),Pakistan
Redmi 10C || 4GB Ram 128GB Rom || 5000mAh Battery,https://www.daraz.pk/products/10c-4gb-1-000-gb-4-mah-i336542228-s1742855319.html?search=1,"Rs. 47,999",(27),Pakistan
Vivo Y16 || 4GB Ram 64GB Rom || 5000mAh Battery || Fingerprint,https://www.daraz.pk/products/y16-wail-4gb-64gb-wach-5000mah-i403130662-s1944984853.html?search=1,"Rs. 54,999",(3),Pakistan
Infinix Note 12 G96 || 8GB Ram 128GB Rom || 5000mAh Battery,https://www.daraz.pk/products/12-g96-8gb-8gb-128-mah-i416729961-s1978155070.html?search=1,"Rs. 59,999",(3),Pakistan
Vivos Y85 4Gb Ram 64Gb Rom New Only Mobile With Accessories And Packaging Box Pta Approved,https://www.daraz.pk/products/4gb-y85-64gb-pta-i400377958-s1934122531.html?search=1,"Rs. 21,500",(26),Pakistan
Samsung Galaxy A04 3GB - 32GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,https://www.daraz.pk/products/samsung-galaxy-a04-3gb-32gb-official-pta-approved-official-warranty-i398440602-s1927450261.html?search=1,"Rs. 36,999",(20),Pakistan
"SPARX NEO 7 MOBILE 3GB RAM 64GB ROM , TRIPLE CAMERA , 5000 mAh BATTERY , ONE YEAR BRAND WARRANTY , PTA APPROVED",https://www.daraz.pk/products/sparx-neo-7-mobile-3gb-ram-64gb-rom-triple-camera-5000-mah-battery-one-year-brand-warranty-pta-approved-i409152461-s1961243251.html?search=1,"Rs. 26,500",(10),Free Shipping
"itel Vision 1 Pro - 6.5"" HD - 2GB 32GB - Triple AI Camera",https://www.daraz.pk/products/itel-vision-1-pro-65-hd-2gb-32gb-triple-ai-camera-i227513791-s1447434019.html?search=1,"Rs. 19,999",(21),Pakistan
Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,https://www.daraz.pk/products/12-8gb-1-000-gb-128-20-33-i421271122-s1988956005.html?search=1,"Rs. 82,999",(1),Pakistan
Realme C35 || 4GB Ram 128Gb Rom || 5000mAh Battery,https://www.daraz.pk/products/c35-4gb-128gb-5000mah-i395514807-s1920655094.html?search=1,"Rs. 51,999",(9),Pakistan
"Infinix Hot 11 Play - 6.82"" Inch Display - 4GB RAM",https://www.daraz.pk/products/infinix-hot-11-play-682-inch-display-4gb-ram-i257410518-s1474397495.html?search=1,"Rs. 35,990",(18),Free Shipping
V60 Thinq Official PTA Approved 5G supported,https://www.daraz.pk/products/v60-thinq-official-pta-approved-5g-supported-i413240145-s1970967625.html?search=1,"Rs. 60,000",(9),Pakistan
Redmi A1+ Mobile Phone 3GB + 32GB System Active PTA Approved Official Warranty,https://www.daraz.pk/products/redmi-a1-mobile-phone-3gb-32gb-i398469461-s1927501634.html?search=1,"Rs. 29,699",(7),Pakistan
